

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

068.845  000.067  000.067: sourcing C:\tools\Neovim\share\nvim\runtime\filetype.vim
069.483  000.134  000.134: sourcing C:\tools\Neovim\share\nvim\runtime\ftplugin.vim
070.113  000.139  000.139: sourcing C:\tools\Neovim\share\nvim\runtime\indent.vim
073.492  002.883  002.883: sourcing C:\Users\matej\AppData\Local\nvim-data\site\autoload\plug.vim
094.699  001.516  001.516: sourcing C:\tools\Neovim\share\nvim\runtime\ftoff.vim
128.286  000.103  000.103: sourcing C:\Users\matej\.vim\plugged\vim-fugitive\ftdetect\fugitive.vim
129.646  000.359  000.359: sourcing C:\Users\matej\.vim\plugged\vim-go\ftdetect\gofiletype.vim
130.294  000.098  000.098: sourcing C:\Users\matej\.vim\plugged\elm-vim\ftdetect\elm.vim
130.904  000.111  000.111: sourcing C:\Users\matej\.vim\plugged\kotlin-vim\ftdetect\kotlin.vim
131.779  000.116  000.116: sourcing C:\Users\matej\.vim\plugged\vimtex\ftdetect\cls.vim
132.182  000.127  000.127: sourcing C:\Users\matej\.vim\plugged\vimtex\ftdetect\tex.vim
132.563  000.109  000.109: sourcing C:\Users\matej\.vim\plugged\vimtex\ftdetect\tikz.vim
135.536  000.130  000.130: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\elixir.vim
135.922  000.109  000.109: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\fish.vim
136.332  000.111  000.111: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\gdresource.vim
136.707  000.102  000.102: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\gdscript.vim
137.094  000.118  000.118: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\gomod.vim
137.501  000.123  000.123: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\graphql.vim
137.896  000.120  000.120: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\hcl.vim
138.303  000.102  000.102: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\heex.vim
138.689  000.113  000.113: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\hjson.vim
139.106  000.145  000.145: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\json5.vim
139.483  000.104  000.104: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\julia.vim
139.872  000.120  000.120: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\ledger.vim
140.294  000.125  000.125: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\nix.vim
140.678  000.110  000.110: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\ql.vim
141.089  000.137  000.137: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\query.vim
141.487  000.114  000.114: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\surface.vim
141.871  000.110  000.110: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\teal.vim
142.419  000.148  000.148: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\tlaplus.vim
142.831  000.114  000.114: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\yang.vim
143.488  000.135  000.135: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\ftdetect\zig.vim
144.444  000.125  000.125: sourcing C:\Users\matej\.vim\plugged\ultisnips\ftdetect\snippets.vim
148.722  036.754  033.215: sourcing C:\tools\Neovim\share\nvim\runtime\filetype.vim
151.106  000.080  000.080: sourcing C:\tools\Neovim\share\nvim\runtime\ftplugin.vim
153.443  000.069  000.069: sourcing C:\tools\Neovim\share\nvim\runtime\indent.vim
166.599  011.632  011.632: sourcing C:\Users\matej\.vim\plugged\melange\colors\melange.vim
449.718  408.295  328.603: sourcing C:\Users\matej\AppData\Local\nvim\init.vim
449.746  000.663: sourcing vimrc file(s)
452.193  000.897  000.897: sourcing C:\Users\matej\.vim\plugged\vim-surround\plugin\surround.vim
453.314  000.414  000.414: sourcing C:\Users\matej\.vim\plugged\vim-commentary\plugin\commentary.vim
455.007  000.873  000.873: sourcing C:\Users\matej\.vim\plugged\ReplaceWithRegister\plugin\ReplaceWithRegister.vim
457.641  001.887  001.887: sourcing C:\Users\matej\.vim\plugged\switch.vim\plugin\switch.vim
458.848  000.478  000.478: sourcing C:\Users\matej\.vim\plugged\vim-easy-align\plugin\easy_align.vim
461.623  001.006  001.006: sourcing C:\Users\matej\.vim\plugged\vim-textobj-user\autoload\textobj\user.vim
463.781  003.916  002.910: sourcing C:\Users\matej\.vim\plugged\vim-textobj-entire\plugin\textobj\entire.vim
466.858  002.151  002.151: sourcing C:\Users\matej\.vim\plugged\vim-textobj-line\plugin\textobj\line.vim
468.119  000.522  000.522: sourcing C:\Users\matej\.vim\plugged\targets.vim\plugin\targets.vim
469.421  000.593  000.593: sourcing C:\Users\matej\.vim\plugged\vim-indent-object\plugin\indent-object.vim
470.532  000.388  000.388: sourcing C:\Users\matej\.vim\plugged\vim-highlightedyank\plugin\highlightedyank.vim
472.475  001.205  001.205: sourcing C:\Users\matej\.vim\plugged\vim-speeddating\plugin\speeddating.vim
473.518  000.211  000.211: sourcing C:\Users\matej\.vim\plugged\bufferize.vim\plugin\bufferize.vim
474.386  000.127  000.127: sourcing C:\Users\matej\.vim\plugged\nvim-ts-autotag\plugin\nvim-ts-autotag.vim
475.336  000.154  000.154: sourcing C:\Users\matej\.vim\plugged\vim-airline-themes\plugin\airline-themes.vim
476.334  000.209  000.209: sourcing C:\Users\matej\.vim\plugged\nvim-colorizer.lua\plugin\colorizer.vim
480.622  003.507  003.507: sourcing C:\Users\matej\.vim\plugged\vim-devicons\plugin\webdevicons.vim
481.750  000.382  000.382: sourcing C:\Users\matej\.vim\plugged\vim-startify\plugin\startify.vim
483.706  001.224  001.224: sourcing C:\Users\matej\.vim\plugged\indent-blankline.nvim\plugin\indent_blankline.vim
488.142  003.685  003.685: sourcing C:\Users\matej\.vim\plugged\vim-fugitive\plugin\fugitive.vim
490.817  000.363  000.363: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\autoload\gitgutter\utility.vim
506.730  000.362  000.362: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\autoload\gitgutter\highlight.vim
509.069  000.247  000.247: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\autoload\gitgutter\async.vim
510.474  021.604  020.633: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\plugin\gitgutter.vim
511.656  000.442  000.442: sourcing C:\Users\matej\.vim\plugged\gv.vim\plugin\gv.vim
514.558  000.585  000.585: sourcing C:\Users\matej\.vim\plugged\nerdtree\autoload\nerdtree.vim
516.984  000.814  000.814: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\path.vim
518.624  000.330  000.330: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\menu_controller.vim
520.056  000.216  000.216: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\menu_item.vim
521.535  000.254  000.254: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\key_map.vim
523.198  000.465  000.465: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\bookmark.vim
524.848  000.424  000.424: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\tree_file_node.vim
526.836  000.762  000.762: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\tree_dir_node.vim
528.519  000.391  000.391: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\opener.vim
530.179  000.461  000.461: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\creator.vim
531.568  000.178  000.178: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\flag_set.vim
533.086  000.323  000.323: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\nerdtree.vim
534.853  000.564  000.564: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\ui.vim
536.253  000.145  000.145: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\event.vim
537.664  000.178  000.178: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\notifier.vim
540.428  001.453  001.453: sourcing C:\Users\matej\.vim\plugged\nerdtree\autoload\nerdtree\ui_glue.vim
549.076  000.939  000.939: sourcing C:\Users\matej\.vim\plugged\vim-devicons\nerdtree_plugin\webdevicons.vim
550.875  000.306  000.306: sourcing C:\Users\matej\.vim\plugged\nerdtree\nerdtree_plugin\exec_menuitem.vim
615.729  043.195  043.195: sourcing C:\tools\Neovim\share\nvim\runtime\autoload\provider\clipboard.vim
616.680  065.471  022.276: sourcing C:\Users\matej\.vim\plugged\nerdtree\nerdtree_plugin\fs_menu.vim
617.309  000.292  000.292: sourcing C:\Users\matej\.vim\plugged\nerdtree\nerdtree_plugin\vcs.vim
851.247  233.112  233.112: sourcing C:\Users\matej\.vim\plugged\nerdtree-execute\nerdtree_plugin\execute_menuitem.vim
854.535  342.149  034.485: sourcing C:\Users\matej\.vim\plugged\nerdtree\plugin\NERD_tree.vim
